Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,320.000000,328.000000,316.000000,316.000000,316.000000,59614400
2017-07-24,318.000000,318.000000,302.000000,306.000000,306.000000,82284800
2017-07-31,308.000000,362.000000,306.000000,354.000000,354.000000,436772800
2017-08-07,356.000000,366.000000,344.000000,348.000000,348.000000,209832900
2017-08-14,348.000000,374.000000,348.000000,366.000000,366.000000,163855000
2017-08-21,366.000000,374.000000,362.000000,364.000000,364.000000,172673200
2017-08-28,366.000000,368.000000,352.000000,358.000000,358.000000,78736900
2017-09-04,358.000000,360.000000,330.000000,346.000000,346.000000,162125500
2017-09-11,346.000000,372.000000,338.000000,364.000000,364.000000,213223800
2017-09-18,366.000000,408.000000,364.000000,396.000000,396.000000,453278100
2017-09-25,398.000000,408.000000,372.000000,378.000000,378.000000,329684300
2017-10-02,378.000000,398.000000,374.000000,388.000000,388.000000,230005300
2017-10-09,386.000000,404.000000,380.000000,390.000000,390.000000,154876400
2017-10-16,396.000000,396.000000,372.000000,380.000000,380.000000,122799200
2017-10-23,380.000000,404.000000,380.000000,396.000000,396.000000,144649900
2017-10-30,396.000000,414.000000,388.000000,404.000000,404.000000,293992600
2017-11-06,404.000000,412.000000,396.000000,398.000000,398.000000,90980900
2017-11-13,400.000000,400.000000,382.000000,388.000000,388.000000,88106800
2017-11-20,388.000000,398.000000,380.000000,384.000000,384.000000,73452500
2017-11-27,384.000000,388.000000,368.000000,370.000000,370.000000,112583400
2017-12-04,370.000000,372.000000,336.000000,346.000000,346.000000,175765900
2017-12-11,346.000000,374.000000,338.000000,370.000000,370.000000,150252600
2017-12-18,370.000000,374.000000,354.000000,356.000000,356.000000,63145800
2017-12-25,356.000000,362.000000,354.000000,356.000000,356.000000,29076000
2018-01-01,356.000000,366.000000,340.000000,358.000000,358.000000,72724200
2018-01-08,362.000000,388.000000,362.000000,378.000000,378.000000,199023300
2018-01-15,384.000000,386.000000,370.000000,376.000000,376.000000,117683500
2018-01-22,376.000000,400.000000,374.000000,396.000000,396.000000,290733500
2018-01-29,400.000000,420.000000,380.000000,412.000000,412.000000,425960400
2018-02-05,402.000000,406.000000,368.000000,376.000000,376.000000,257076300
2018-02-12,376.000000,388.000000,376.000000,382.000000,382.000000,62148900
2018-02-19,384.000000,398.000000,380.000000,384.000000,384.000000,104254800
2018-02-26,384.000000,406.000000,382.000000,396.000000,396.000000,169121700
2018-03-05,400.000000,402.000000,374.000000,388.000000,388.000000,153216900
2018-03-12,388.000000,392.000000,370.000000,390.000000,390.000000,81059200
2018-03-19,388.000000,400.000000,370.000000,378.000000,378.000000,104224500
2018-03-26,382.000000,392.000000,374.000000,378.000000,378.000000,69341400
2018-04-02,378.000000,400.000000,376.000000,380.000000,380.000000,71755300
2018-04-09,378.000000,392.000000,378.000000,388.000000,388.000000,39104400
2018-04-16,388.000000,394.000000,388.000000,388.000000,388.000000,9725800
2018-04-23,384.000000,384.000000,372.000000,380.000000,380.000000,21530900
2018-04-30,358.000000,374.000000,350.000000,352.000000,352.000000,51622100
2018-05-07,360.000000,362.000000,340.000000,340.000000,340.000000,79922400
2018-05-14,338.000000,348.000000,326.000000,330.000000,330.000000,62777400
2018-05-21,330.000000,354.000000,324.000000,344.000000,344.000000,97323000
2018-05-28,348.000000,362.000000,344.000000,354.000000,354.000000,80244500
2018-06-04,354.000000,370.000000,348.000000,368.000000,368.000000,70181000
2018-06-11,368.000000,368.000000,368.000000,368.000000,368.000000,0
2018-06-18,368.000000,368.000000,346.000000,346.000000,346.000000,42205700
2018-06-25,346.000000,358.000000,322.000000,328.000000,328.000000,51494000
2018-07-02,328.000000,334.000000,292.000000,306.000000,306.000000,39108600
2018-07-09,308.000000,342.000000,308.000000,320.000000,320.000000,47039700
2018-07-16,318.000000,336.000000,318.000000,324.000000,324.000000,25242800
2018-07-23,326.000000,342.000000,320.000000,330.000000,330.000000,29760500
2018-07-30,332.000000,338.000000,320.000000,324.000000,324.000000,41033900
2018-08-06,326.000000,340.000000,326.000000,334.000000,334.000000,17665000
2018-08-13,332.000000,332.000000,310.000000,310.000000,310.000000,19338900
2018-08-20,314.000000,332.000000,312.000000,326.000000,326.000000,21014600
2018-08-27,326.000000,330.000000,312.000000,326.000000,326.000000,21913100
2018-09-03,324.000000,324.000000,280.000000,284.000000,284.000000,57660600
2018-09-10,284.000000,298.000000,278.000000,292.000000,292.000000,36835300
2018-09-17,296.000000,296.000000,282.000000,290.000000,290.000000,26302100
2018-09-24,292.000000,294.000000,280.000000,286.000000,286.000000,26612600
2018-10-01,288.000000,298.000000,272.000000,272.000000,272.000000,32991900
2018-10-08,272.000000,282.000000,260.000000,272.000000,272.000000,18674700
2018-10-15,272.000000,282.000000,268.000000,274.000000,274.000000,21263400
2018-10-22,278.000000,294.000000,274.000000,276.000000,276.000000,23948900
2018-10-29,276.000000,288.000000,270.000000,278.000000,278.000000,17402900
2018-11-05,282.000000,312.000000,278.000000,304.000000,304.000000,69066800
2018-11-12,302.000000,306.000000,288.000000,300.000000,300.000000,35375800
2018-11-19,300.000000,330.000000,300.000000,316.000000,316.000000,66029200
2018-11-26,318.000000,348.000000,308.000000,348.000000,348.000000,67830100
2018-12-03,348.000000,358.000000,340.000000,348.000000,348.000000,68717900
2018-12-10,350.000000,354.000000,330.000000,342.000000,342.000000,36232400
