id,dataset,weight,height,sex
ID0001,training,70.4,184.2,1
ID0002,training,63.8,158.7,1
ID0003,training,66.2,162.3,0
ID0004,training,66.6,155.9,0
ID0005,training,70.9,186,1
ID0006,training,64.9,159.2,1
ID0007,training,65.2,166.1,1
ID0008,training,65,136.9,0
ID0009,training,65.3,148.7,0
ID0010,training,62.5,126.2,0
ID0011,training,70,189.8,1
ID0012,training,63.3,137.9,0
ID0013,training,68.7,184.2,1
ID0014,training,70.3,183.8,1
ID0015,training,65.5,161.3,1
ID0016,training,61.5,126.4,0
ID0017,training,64.5,146.6,0
ID0018,training,65.4,176.2,1
ID0019,training,63.1,133.6,0
ID0020,training,64.8,138.5,0
ID0021,training,68.9,183.9,1
ID0022,training,65.1,170.1,1
ID0023,training,69.2,181.8,1
ID0024,training,66.3,155.7,0
ID0025,training,66.8,166.4,1
ID0026,training,64.6,144.4,0
ID0027,training,66.9,173.6,1
ID0028,training,70.1,182.8,1
ID0029,training,64.7,143.3,1
ID0030,training,69.4,187.4,1
ID0031,training,61.8,131,0
ID0032,training,69.2,186.4,1
ID0033,training,64.6,134.6,0
ID0034,training,64.3,138.8,0
ID0035,training,62.4,146.8,0
ID0036,training,66.4,145.7,0
ID0037,training,65.1,153.6,0
ID0038,training,67.1,171.9,1
ID0039,training,68.7,180.5,1
ID0040,training,67.9,168.7,1
ID0041,training,66.4,172.3,1
ID0042,training,68,175,1
ID0043,training,68,177.6,1
ID0044,training,68.1,169,0
ID0045,training,67,172.9,1
ID0046,training,66.6,165,1
ID0047,training,65.3,145.3,1
ID0048,training,69.4,174.4,1
ID0049,training,67.5,180.1,1
ID0050,training,61.8,143.4,1
ID0051,training,64.3,161.3,1
ID0052,training,59.6,127,0
ID0053,training,65.1,151.1,0
ID0054,training,69.9,185.8,1
ID0055,training,68,172.5,1
ID0056,training,67,183.4,1
ID0057,training,64,141.7,0
ID0058,training,68.4,168.2,1
ID0059,training,65.2,130.2,0
ID0060,training,64.6,156.9,0
ID0061,training,66.4,168.3,1
ID0062,training,64.4,151.6,0
ID0063,training,62.1,131.1,0
ID0064,training,67.5,177.1,1
ID0065,training,65,150.4,0
ID0066,training,69.4,170.1,0
ID0067,training,71.4,179.9,1
ID0068,training,69.9,177.4,1
ID0069,training,70.5,185.5,1
ID0070,training,67.6,179.4,1
ID0071,training,66.2,138,0
ID0072,training,70.1,188.3,1
ID0073,training,64,138.7,0
ID0074,training,60.7,136.2,1
ID0075,training,68.3,176,1
ID0076,training,66.4,188.2,1
ID0077,training,61.9,133.8,0
ID0078,training,64.3,132.3,0
ID0079,training,68.4,178.2,1
ID0080,training,64.3,140.2,0
ID0081,training,65.8,171.4,1
ID0082,training,60.1,126.4,0
ID0083,training,62,129.3,0
ID0084,training,63.8,131.4,0
ID0085,training,64.8,135.2,0
ID0086,training,64.8,142.9,0
ID0087,training,64.1,139.4,0
ID0088,training,63.3,136.4,0
ID0089,training,66.7,183.2,1
ID0090,training,64.5,161.4,1
ID0091,training,66.7,181.5,1
ID0092,training,66.5,157.1,0
ID0093,training,67.1,168.2,1
ID0094,training,64.7,160.2,1
ID0095,training,65.3,141.4,0
ID0096,training,67.1,162,0
ID0097,training,66.3,144.9,0
ID0098,training,68.6,179.6,1
ID0099,training,65.3,161.4,1
ID0100,training,67.9,173.9,1
ID0101,training,67.1,160.7,0
ID0102,training,67.8,162.5,0
ID0103,training,65.6,141.2,0
ID0104,training,66.8,178.8,1
ID0105,training,65.3,167.8,1
ID0106,training,65.5,178.3,1
ID0107,training,65.2,152.5,0
ID0108,training,68.2,165,0
ID0109,training,61.7,145.6,0
ID0110,training,71.5,190,1
ID0111,training,69.5,174.1,0
ID0112,training,60.3,125.3,0
ID0113,training,66.1,158.5,0
ID0114,training,68.1,166.3,1
ID0115,training,64.9,149.5,0
ID0116,training,68.4,169,1
ID0117,training,70.4,189.9,1
ID0118,training,62.7,134.4,0
ID0119,training,63.2,164.5,1
ID0120,training,69.1,171.8,1
ID0121,training,61.5,137.1,0
ID0122,training,67.9,186.5,1
ID0123,training,69.9,162.5,0
ID0124,training,68.3,175.2,1
ID0125,training,69.2,172.8,1
ID0126,training,62.3,136.2,0
ID0127,training,70.1,151.3,0
ID0128,training,69.9,181.7,1
ID0129,training,64.9,131.7,0
ID0130,training,67.4,174,1
ID0131,training,63.5,160.5,1
ID0132,training,63.2,140.3,0
ID0133,training,69.4,185.9,1
ID0134,training,71.1,182.1,0
ID0135,training,63.6,130.4,0
ID0136,training,64.2,158.2,0
ID0137,training,70.2,185.7,1
ID0138,training,63.1,127.5,0
ID0139,training,68.5,172.5,1
ID0140,training,65,162.9,1
ID0141,training,63.6,134.1,0
ID0142,training,64.9,147.7,0
ID0143,training,63.8,146.4,0
ID0144,training,64,147.8,0
ID0145,training,70.7,185.8,1
ID0146,training,65,145.8,0
ID0147,training,66.7,143,0
ID0148,training,60.9,130.1,0
ID0149,training,61.1,125.8,1
ID0150,training,68.2,174.9,1
ID0151,training,65.1,146.7,0
ID0152,training,63.3,126.4,0
ID0153,training,69.7,186.7,1
ID0154,training,63.2,138.1,0
ID0155,training,65.3,150.8,0
ID0156,training,65.7,137.8,0
ID0157,training,66.4,145,0
ID0158,training,66.9,181.6,1
ID0159,training,63.4,139.2,0
ID0160,training,64.8,147,1
ID0161,training,62.8,132.4,0
ID0162,training,62,137,0
ID0163,training,66.7,166.9,0
ID0164,training,60.2,131.7,0
ID0165,training,67.2,150.9,0
ID0166,training,67.6,151.9,0
ID0167,training,62.2,133.9,0
ID0168,training,67,166.6,1
ID0169,training,64.8,143.5,0
ID0170,training,66.2,176.5,1
ID0171,training,69.8,185.4,1
ID0172,training,66.1,183.9,1
